"","studyid","spp1","spp2","interaction","taxatype","intid"
"2","EMW001","Acartia tonsa","Mnemiopsis1 leidyi","predation","spp",1
"3","EMW002","Acer saccharum","Barypeithes pellucidus","herbivory","spp",2
"4","EMW002","Acer saccharum","Sciaphilus asperatus","herbivory","spp",3
"5","EMW002","Acer saccharum","Polydrusus sericeus","herbivory","spp",4
"6","EMW002","Acer saccharum","Phyllobius oblongus","herbivory","spp",5
"96","EMW002","Ostrya virginiana","Phyllobius oblongus","herbivory","spp",6
"97","EMW002","Ostrya virginiana","Barypeithes pellucidus","herbivory","spp",7
"98","EMW002","Ostrya virginiana","Sciaphilus asperatus","herbivory","spp",8
"99","EMW002","Ostrya virginiana","Polydrusus sericeus","herbivory","spp",9
"125","EMW002","Rubus spp.","Polydrusus sericeus","herbivory","spp",10
"126","EMW002","Rubus spp.","Phyllobius oblongus","herbivory","spp",11
"127","EMW002","Rubus spp.","Barypeithes pellucidus","herbivory","spp",12
"128","EMW002","Rubus spp.","Sciaphilus asperatus","herbivory","spp",13
"134","HMK001","Salix lapponum","Cacopsylla brunneipennis","herbivory","spp",14
"135","HMK001","Salix lapponum","Cacopsylla palmeni","herbivory","spp",15
"118","HMK002","Quercus alba","Lymantria dispar","herbivory","spp",16
"123","HMK002","Quercus velutina","Lymantria dispar","herbivory","spp",17
"15","HMK003","Aucuba japonica","Asphondylia aucubae","herbivory","spp",18
"121","HMK004","Quercus spp.","Tortrix viridana","herbivory","spp",19
"16","HMK005","Betula pubescens","Epirrita autumnata","herbivory","spp",21
"23","HMK006","Dendroctonus valens","Corticeus parallelus","predation","spp",22
"24","HMK006","Dendroctonus valens","Enoclerus nigripes","predation","spp",23
"25","HMK006","Dendroctonus valens","Thanasimus dubius","predation","spp",24
"26","HMK006","Dendroctonus valens","Platysoma cylindrica","predation","spp",25
"27","HMK006","Dendroctonus valens","Platysoma parallelum","predation","spp",26
"28","HMK006","Dendroctonus valens","Cucujus clavipes","predation","spp",27
"40","HMK006","Dryocetes autographus","Corticeus parallelus","predation","spp",28
"41","HMK006","Dryocetes autographus","Enoclerus nigripes","predation","spp",29
"42","HMK006","Dryocetes autographus","Platysoma cylindrica","predation","spp",30
"43","HMK006","Dryocetes autographus","Platysoma parallelum","predation","spp",31
"44","HMK006","Dryocetes autographus","Thanasimus dubius","predation","spp",32
"45","HMK006","Dryocetes autographus","Cucujus clavipes","predation","spp",33
"52","HMK006","Gnathotrichus materiarius","Platysoma parallelum","predation","spp",34
"53","HMK006","Gnathotrichus materiarius","Cucujus clavipes","predation","spp",35
"54","HMK006","Gnathotrichus materiarius","Platysoma cylindrica","predation","spp",36
"55","HMK006","Gnathotrichus materiarius","Corticeus parallelus","predation","spp",37
"56","HMK006","Gnathotrichus materiarius","Enoclerus nigripes","predation","spp",38
"57","HMK006","Gnathotrichus materiarius","Thanasimus dubius","predation","spp",39
"59","HMK006","Hylastes porculus","Cucujus clavipes","predation","spp",40
"60","HMK006","Hylastes porculus","Platysoma cylindrica","predation","spp",41
"61","HMK006","Hylastes porculus","Corticeus parallelus","predation","spp",42
"62","HMK006","Hylastes porculus","Enoclerus nigripes","predation","spp",43
"63","HMK006","Hylastes porculus","Thanasimus dubius","predation","spp",44
"64","HMK006","Hylastes porculus","Platysoma parallelum","predation","spp",45
"65","HMK006","Hylurgops rugipennis pinifex","Thanasimus dubius","predation","spp",46
"66","HMK006","Hylurgops rugipennis pinifex","Platysoma parallelum","predation","spp",47
"67","HMK006","Hylurgops rugipennis pinifex","Enoclerus nigripes","predation","spp",48
"68","HMK006","Hylurgops rugipennis pinifex","Corticeus parallelus","predation","spp",49
"69","HMK006","Hylurgops rugipennis pinifex","Cucujus clavipes","predation","spp",50
"70","HMK006","Hylurgops rugipennis pinifex","Platysoma cylindrica","predation","spp",51
"71","HMK006","Ips grandicollis","Corticeus parallelus","predation","spp",52
"72","HMK006","Ips grandicollis","Cucujus clavipes","predation","spp",53
"73","HMK006","Ips grandicollis","Enoclerus nigripes","predation","spp",54
"74","HMK006","Ips grandicollis","Platysoma cylindrica","predation","spp",55
"75","HMK006","Ips grandicollis","Platysoma parallelum","predation","spp",56
"76","HMK006","Ips grandicollis","Thanasimus dubius","predation","spp",57
"77","HMK006","Ips pini","Enoclerus nigripes","predation","spp",58
"78","HMK006","Ips pini","Platysoma parallelum","predation","spp",59
"79","HMK006","Ips pini","Thanasimus dubius","predation","spp",60
"80","HMK006","Ips pini","Platysoma cylindrica","predation","spp",61
"81","HMK006","Ips pini","Cucujus clavipes","predation","spp",62
"82","HMK006","Ips pini","Corticeus parallelus","predation","spp",63
"83","HMK006","Monochamus spp.","Cucujus clavipes","predation","spp",64
"84","HMK006","Monochamus spp.","Corticeus parallelus","predation","spp",65
"85","HMK006","Monochamus spp.","Platysoma cylindrica","predation","spp",66
"86","HMK006","Monochamus spp.","Thanasimus dubius","predation","spp",67
"87","HMK006","Monochamus spp.","Enoclerus nigripes","predation","spp",68
"88","HMK006","Monochamus spp.","Platysoma parallelum","predation","spp",69
"90","HMK006","Orthotomicus caelatus","Corticeus parallelus","predation","spp",70
"91","HMK006","Orthotomicus caelatus","Platysoma cylindrica","predation","spp",71
"92","HMK006","Orthotomicus caelatus","Thanasimus dubius","predation","spp",72
"93","HMK006","Orthotomicus caelatus","Enoclerus nigripes","predation","spp",73
"94","HMK006","Orthotomicus caelatus","Platysoma parallelum","predation","spp",74
"95","HMK006","Orthotomicus caelatus","Cucujus clavipes","predation","spp",75
"109","HMK006","Pissodes approximatus","Platysoma parallelum","predation","spp",76
"110","HMK006","Pissodes approximatus","Corticeus parallelus","predation","spp",77
"111","HMK006","Pissodes approximatus","Cucujus clavipes","predation","spp",78
"112","HMK006","Pissodes approximatus","Enoclerus nigripes","predation","spp",79
"113","HMK006","Pissodes approximatus","Platysoma cylindrica","predation","spp",80
"114","HMK006","Pissodes approximatus","Thanasimus dubius","predation","spp",81
"138","HMK006","Tomicus piniperda","Platysoma parallelum","predation","spp",82
"139","HMK006","Tomicus piniperda","Cucujus clavipes","predation","spp",83
"140","HMK006","Tomicus piniperda","Enoclerus nigripes","predation","spp",84
"141","HMK006","Tomicus piniperda","Corticeus parallelus","predation","spp",85
"142","HMK006","Tomicus piniperda","Platysoma cylindrica","predation","spp",86
"143","HMK006","Tomicus piniperda","Thanasimus dubius","predation","spp",87
"146","HMK006","Dendroctonus valens","Dryocetes autographus","competition","spp",88
"147","HMK006","Dendroctonus valens","Gnathotrichus materiarius","competition","spp",89
"148","HMK006","Dendroctonus valens","Hylastes porculus","competition","spp",90
"149","HMK006","Dendroctonus valens","Hylurgops rugipennis pinifex","competition","spp",91
"150","HMK006","Dendroctonus valens","Ips grandicollis","competition","spp",92
"151","HMK006","Dendroctonus valens","Ips pini","competition","spp",93
"152","HMK006","Dendroctonus valens","Monochamus spp.","competition","spp",94
"153","HMK006","Dendroctonus valens","Orthotomicus caelatus","competition","spp",95
"154","HMK006","Dendroctonus valens","Pissodes approximatus","competition","spp",96
"155","HMK006","Dendroctonus valens","Tomicus piniperda","competition","spp",97
"156","HMK006","Dryocetes autographus","Gnathotrichus materiarius","competition","spp",98
"157","HMK006","Dryocetes autographus","Hylastes porculus","competition","spp",99
"158","HMK006","Dryocetes autographus","Hylurgops rugipennis pinifex","competition","spp",100
"159","HMK006","Dryocetes autographus","Ips grandicollis","competition","spp",101
"160","HMK006","Dryocetes autographus","Ips pini","competition","spp",102
"161","HMK006","Dryocetes autographus","Monochamus spp.","competition","spp",103
"162","HMK006","Dryocetes autographus","Orthotomicus caelatus","competition","spp",104
"163","HMK006","Dryocetes autographus","Pissodes approximatus","competition","spp",105
"164","HMK006","Dryocetes autographus","Tomicus piniperda","competition","spp",106
"167","HMK006","Gnathotrichus materiarius","Hylastes porculus","competition","spp",107
"168","HMK006","Gnathotrichus materiarius","Hylurgops rugipennis pinifex","competition","spp",108
"169","HMK006","Gnathotrichus materiarius","Ips grandicollis","competition","spp",109
"170","HMK006","Gnathotrichus materiarius","Ips pini","competition","spp",110
"171","HMK006","Gnathotrichus materiarius","Monochamus spp.","competition","spp",111
"172","HMK006","Gnathotrichus materiarius","Orthotomicus caelatus","competition","spp",112
"173","HMK006","Gnathotrichus materiarius","Pissodes approximatus","competition","spp",113
"174","HMK006","Gnathotrichus materiarius","Tomicus piniperda","competition","spp",114
"177","HMK006","Hylastes porculus","Hylurgops rugipennis pinifex","competition","spp",115
"178","HMK006","Hylastes porculus","Ips grandicollis","competition","spp",116
"179","HMK006","Hylastes porculus","Ips pini","competition","spp",117
"180","HMK006","Hylastes porculus","Monochamus spp.","competition","spp",118
"181","HMK006","Hylastes porculus","Orthotomicus caelatus","competition","spp",119
"182","HMK006","Hylastes porculus","Pissodes approximatus","competition","spp",120
"183","HMK006","Hylastes porculus","Tomicus piniperda","competition","spp",121
"184","HMK006","Hylurgops rugipennis pinifex","Ips grandicollis","competition","spp",122
"185","HMK006","Hylurgops rugipennis pinifex","Ips pini","competition","spp",123
"186","HMK006","Hylurgops rugipennis pinifex","Monochamus spp.","competition","spp",124
"187","HMK006","Hylurgops rugipennis pinifex","Orthotomicus caelatus","competition","spp",125
"188","HMK006","Hylurgops rugipennis pinifex","Pissodes approximatus","competition","spp",126
"189","HMK006","Hylurgops rugipennis pinifex","Tomicus piniperda","competition","spp",127
"190","HMK006","Ips grandicollis","Ips pini","competition","spp",128
"191","HMK006","Ips grandicollis","Monochamus spp.","competition","spp",129
"192","HMK006","Ips grandicollis","Orthotomicus caelatus","competition","spp",130
"193","HMK006","Ips grandicollis","Pissodes approximatus","competition","spp",131
"194","HMK006","Ips grandicollis","Tomicus piniperda","competition","spp",132
"195","HMK006","Ips pini","Monochamus spp.","competition","spp",133
"196","HMK006","Ips pini","Orthotomicus caelatus","competition","spp",134
"197","HMK006","Ips pini","Pissodes approximatus","competition","spp",135
"198","HMK006","Ips pini","Tomicus piniperda","competition","spp",136
"199","HMK006","Monochamus spp.","Orthotomicus caelatus","competition","spp",137
"200","HMK006","Monochamus spp.","Pissodes approximatus","competition","spp",138
"201","HMK006","Monochamus spp.","Tomicus piniperda","competition","spp",139
"202","HMK006","Orthotomicus caelatus","Pissodes approximatus","competition","spp",140
"203","HMK006","Orthotomicus caelatus","Tomicus piniperda","competition","spp",141
"205","HMK006","Pissodes approximatus","Tomicus piniperda","competition","spp",142
"210","HMK007","Saxifraga reflexa","Saxifraga tricuspidata","competition","spp",143
"17","HMK008","Castilleja tenuiflora","Selasphorus platycercus","poll","spp",144
"22","HMK008","Delphinium nuttallianum","Selasphorus platycercus","poll","spp",145
"48","HMK008","Erythronium grandiflorum","Selasphorus platycercus","poll","spp",146
"176","HMK009","Hydrophyllum macrophyllum","Lonicera maackii","competition","spp",147
"212","HMK010","Chlorochytrium spp.","Codiolum spp.","mutualist","genus",148
"213","HMK010","Chlorochytrium spp.","Mastocarpus papillatus","mutualist","genus",149
"214","HMK010","Chlorochytrium spp.","Mazzaella splendens","mutualist","genus",150
"215","HMK010","Codiolum spp.","Mastocarpus papillatus","mutualist","genus",151
"216","HMK010","Codiolum spp.","Mazzaella splendens","mutualist","genus",152
"217","HMK010","Mastocarpus papillatus","Mazzaella splendens","mutualist","genus",153
"47","HMK011","Epirrita autumnata","Poecile montanus","herbivory","spp",155
"58","HMK012","Hamamelis virginiana","Hormaphis hamamelidis","herbivory","spp",156
"20","HMK013","Cirsium undulatum","Rhinocyllus conicus","herbivory","spp",157
"13","HMK014","Anemone truffolia","Melanchra pisi","herbivory","spp",158
"51","HMK014","Gentiana formosa","Melanchra pisi","herbivory","spp",159
"129","HMK015","Saissetia oleae","Chilocorus bipustulatus","predation","spp",160
"130","HMK015","Saissetia oleae","Rhyzobius chrysomeloides","predation","spp",161
"131","HMK015","Saissetia oleae","Scymnus interruptus","predation","spp",162
"132","HMK015","Saissetia oleae","Scymnus mediterraneus","predation","spp",163
"133","HMK015","Saissetia oleae","Scymnus subvillosus","predation","spp",164
"46","HMK016","Engraulis japonicus","Cerorhinca monocerata","predation","spp",165
"136","HMK017","Salix polaris","Sitobion calvulum","herbivory","spp",166
"207","HMK018","Pygoscelis adeliae","Pygoscelis antarcticus","competition","spp",167
"208","HMK018","Pygoscelis adeliae","Pygoscelis papua","competition","spp",168
"209","HMK018","Pygoscelis antarcticus","Pygoscelis papua","competition","spp",169
"233","HMK019","Phytoplankton1 spp.","Daphnia3 spp.","herbivory","genus",170
"234","HMK019","Daphnia3 spp.","Perca fluviatillis","predation","genus",171
"124","HMK020","Quercus1 robur","Thaumetopoea processionea","herbivory","spp",172
"21","HMK021","Dasineura mali","Platygaster demades","parasitism","spp",173
"117","HMK022","Prunus spinosa","Thecla betulae","herbivory","spp",174
"211","HMK023","Bombus spp.","Corydalis ambigua","pollination","genus",175
"115","HMK026","Plant1 spp.","Rangifer1 tarandus","herbivory","genus",176
"228","HMK027","Caterpillar spp.","Parus1 major","predation","genus",177
"229","HMK027","Caterpillar spp.","Ficedula1 albicollis","predation","genus",178
"230","HMK027","Quercus2 robur","Caterpillar spp.","herbivory","genus",179
"89","HMK028","Operophtera brumata","Parus2 major","predation","spp",180
"29","HMK029","Diatom1 spp.","Daphnia pulicaria","herbivory","genus",181
"30","HMK029","Diatom1 spp.","Keratella1 cochlearis","herbivory","genus",182
"116","HMK030","Plant2 spp.","Rangifer2 tarandus","herbivory","genus",183
"31","HMK031","Diatom2 spp.","Acanthocyclops robustus","herbivory","genus",184
"32","HMK031","Diatom2 spp.","Daphnia1 spp.","herbivory","genus",185
"33","HMK031","Diatom2 spp.","Dreissena polymorpha","herbivory","genus",186
"34","HMK031","Diatom2 spp.","Mesocyclops leukarti","herbivory","genus",187
"35","HMK031","Diatom2 spp.","Thermocyclops oithonoides","herbivory","genus",188
"14","HMK032","Asterionella spp.","Daphnia hyalina-galeata","herbivory","genus",189
"218","HMK033","Plant3 spp.","Syrphid spp.","pollination","genus",190
"107","HMK034","Phytoplankton2 spp.","Cyclops vicinus","herbivory","genus",191
"1","HMK035","Acartia hudsonica","Mnemiopsis2 leidyi","predation","spp",192
"36","HMK036","Diatom3 spp.","Copepod1 spp.","herbivory","genus",193
"37","HMK037","Diatom4 spp.","Daphnia2 spp.","herbivory","genus",194
"38","HMK037","Diatom4 spp.","Keratella2 cochlearis","herbivory","genus",195
"39","HMK037","Diatom4 spp.","Leptodiaptomus ashlandi","herbivory","genus",196
"50","HMK038","Ficedula2 albicollis","Glis glis","predation","spp",197
"100","HMK038","Parus caeruleus","Glis glis","predation","spp",198
"101","HMK038","Parus3 major","Glis glis","predation","spp",199
"137","HMK038","Sitta europaea","Glis glis","predation","spp",200
"175","HMK039","Guillemots spp.","Rissa1 tridactyla","competition","genus",201
"102","HMK041","Phytoplankton spp.","Calanoid copepod","herbivory","genus",202
"103","HMK041","Phytoplankton spp.","Cladoceran spp.","herbivory","genus",203
"104","HMK041","Phytoplankton spp.","Cyclopoid copepod","herbivory","genus",204
"105","HMK041","Phytoplankton spp.","Nauplii copepod","herbivory","genus",205
"106","HMK041","Phytoplankton spp.","Rotifer spp.","herbivory","genus",206
"145","HMK042","Acrocephalus arundinaceus","Acrocephalus scirpaceus","competition","spp",207
"231","HMK043","Copepod2 spp.","Pleurobrachia pileus","predation","genus",208
"232","HMK043","Pleurobrachia pileus","Beroe gracilis","predation","spp",209
"108","HMK044","Picea glauca","Choristoneura fumiferana","herbivory","spp",210
"119","HMK045","Quercus fusiformis","Belonocnema treatae","herbivory","spp",211
"206","HMK046","Pseudacris triseriata","Rana sphenocephala","competition","spp",212
"7","HMK047","Alnus rubra","Malacosoma  californicum pluviale","herbivory","spp",213
"219","HMK048","Ficedula hypoleuca","Accipiter nisus","predation","spp",214
"220","HMK048","Parus ater","Accipiter nisus","predation","spp",215
"221","HMK048","Parus2 caeruleus","Accipiter nisus","predation","spp",216
"222","HMK048","Parus4 major","Accipiter nisus","predation","spp",217
"223","HMK048","Caterpillar2 spp.","Ficedula hypoleuca","predation","genus",218
"224","HMK048","Caterpillar2 spp.","Parus ater","predation","genus",219
"225","HMK048","Caterpillar2 spp.","Parus2 caeruleus","predation","genus",220
"226","HMK048","Caterpillar2 spp.","Parus4 major","predation","genus",221
"227","HMK048","Quercus3 robur","Caterpillar2 spp.","herbivory","genus",222
"19","HMK049","Caterpillar3 spp.","Parus5 major","predation","genus",223
"18","HMK050","Caterpillar spp.","Parus major","predation","genus",224
"49","JEH001","Euphydryas aurinia","Cotesia bignellii","parasitism","spp",225
"165","JMA002","Epipedobates femoralis","Osteocephalus taurinus","competition","spp",226
"166","JMA002","Epipedobates femoralis","Phyllomedusa tomopterna","competition","spp",227
"204","JMA002","Osteocephalus taurinus","Phyllomedusa tomopterna","competition","spp",228
"144","KJB001","Ulmus davidiana","Tetraneura spp.","parasitism","genus",229
"120","KJB003","Quercus ilex","Curculio elephas","predation","spp",230
"8","SET005","Ammodytes marinus","Alca torda","predation","spp",231
"9","SET005","Ammodytes marinus","Fratercula arctica","predation","spp",232
"10","SET005","Ammodytes marinus","Phalacrocorax aristotelis","predation","spp",233
"11","SET005","Ammodytes marinus","Rissa2 tridactyla","predation","spp",234
"12","SET005","Ammodytes marinus","Uria aalge","predation","spp",235
"235","SET006","Quercus robur","Operophtera brumata","herbivory","spp",236
"236","SET006","Operophtera brumata","Parus major","predation","spp",237
