"","studyid","intid","spp1","spp1_slope","spp2","spp2_slope","min_year","max_year","start_phenodiff","end_phenodiff","slopediff","endstart"
"36","HMK006","55","Ips grandicollis",10.0000000000016,"Platysoma cylindrica",15.0000000000023,1996,1997,0,-5,-5.00000000000076,-5
"111","HMK006","130","Ips grandicollis",10.0000000000016,"Orthotomicus caelatus",15.0000000000023,1996,1997,0,-5,-5.00000000000076,-5
"52","HMK006","71","Orthotomicus caelatus",15.0000000000023,"Platysoma cylindrica",15.0000000000023,1996,1997,0,0,0,0
"125","HMK008","144","Castilleja tenuiflora",0.178439912684556,"Selasphorus platycercus",-0.283470133730404,1984,2010,0.139050000000012,-10.5791,0.46191004641496,-10.71815
"6","HMK006","25","Dendroctonus valens",10.5000000000016,"Platysoma cylindrica",15.0000000000023,1996,1997,0.5,-4,-4.50000000000072,-4.5
"76","HMK006","95","Dendroctonus valens",10.5000000000016,"Orthotomicus caelatus",15.0000000000023,1996,1997,0.5,-4,-4.50000000000072,-4.5
"73","HMK006","92","Dendroctonus valens",10.5000000000016,"Ips grandicollis",10.0000000000016,1996,1997,0.5,1,0.500000000000041,0.5
"72","HMK006","91","Dendroctonus valens",10.5000000000016,"Hylurgops rugipennis pinifex",-12.0000000000018,1996,1997,0.5,23,22.5000000000034,22.5
"28","HMK006","47","Hylurgops rugipennis pinifex",-12.0000000000018,"Platysoma parallelum",18.0000000000028,1996,1997,1,-29,-30.0000000000046,-30
"37","HMK006","56","Ips grandicollis",10.0000000000016,"Platysoma parallelum",18.0000000000028,1996,1997,1,-7,-8.00000000000121,-8
"55","HMK006","74","Orthotomicus caelatus",15.0000000000023,"Platysoma parallelum",18.0000000000028,1996,1997,1,-2,-3.00000000000044,-3
"11","HMK006","30","Dryocetes autographus",16.0000000000025,"Platysoma cylindrica",15.0000000000023,1996,1997,1,2,1.00000000000012,1
"85","HMK006","104","Dryocetes autographus",16.0000000000025,"Orthotomicus caelatus",15.0000000000023,1996,1997,1,2,1.00000000000012,1
"82","HMK006","101","Dryocetes autographus",16.0000000000025,"Ips grandicollis",10.0000000000016,1996,1997,1,7,6.00000000000088,6
"81","HMK006","100","Dryocetes autographus",16.0000000000025,"Hylurgops rugipennis pinifex",-12.0000000000018,1996,1997,1,29,28.0000000000043,28
"7","HMK006","26","Dendroctonus valens",10.5000000000016,"Platysoma parallelum",18.0000000000028,1996,1997,1.5,-6,-7.50000000000117,-7.5
"27","HMK006","46","Hylurgops rugipennis pinifex",-12.0000000000018,"Thanasimus dubius",-4.00000000000056,1996,1997,2,-6,-8.00000000000125,-8
"12","HMK006","31","Dryocetes autographus",16.0000000000025,"Platysoma parallelum",18.0000000000028,1996,1997,2,0,-2.00000000000032,-2
"22","HMK006","41","Hylastes porculus",14.5000000000022,"Platysoma cylindrica",15.0000000000023,1996,1997,2,1.5,-0.500000000000119,-0.5
"100","HMK006","119","Hylastes porculus",14.5000000000022,"Orthotomicus caelatus",15.0000000000023,1996,1997,2,1.5,-0.500000000000119,-0.5
"97","HMK006","116","Hylastes porculus",14.5000000000022,"Ips grandicollis",10.0000000000016,1996,1997,2,6.5,4.50000000000064,4.5
"38","HMK006","57","Ips grandicollis",10.0000000000016,"Thanasimus dubius",-4.00000000000056,1996,1997,2,16,14.0000000000021,14
"53","HMK006","72","Orthotomicus caelatus",15.0000000000023,"Thanasimus dubius",-4.00000000000056,1996,1997,2,21,19.0000000000029,19
"96","HMK006","115","Hylastes porculus",14.5000000000022,"Hylurgops rugipennis pinifex",-12.0000000000018,1996,1997,2,28.5,26.500000000004,26.5
"149","HMK023","175","Bombus spp.",0.364835164835172,"Corydalis ambigua",0.721978021978037,1999,2012,2.5,1,-0.357142857142864,-1.5
"5","HMK006","24","Dendroctonus valens",10.5000000000016,"Thanasimus dubius",-4.00000000000056,1996,1997,2.5,17,14.5000000000022,14.5
"26","HMK006","45","Hylastes porculus",14.5000000000022,"Platysoma parallelum",18.0000000000028,1996,1997,3,-0.5,-3.50000000000056,-3.5
"13","HMK006","32","Dryocetes autographus",16.0000000000025,"Thanasimus dubius",-4.00000000000056,1996,1997,3,23,20.000000000003,20
"160","HMK031","186","Diatom2 spp.",-0.881069699999999,"Dreissena polymorpha",-0.667197461538463,1979,2003,3.47200000000001,10.8717,-0.213872238461536,7.3997
"25","HMK006","44","Hylastes porculus",14.5000000000022,"Thanasimus dubius",-4.00000000000056,1996,1997,4,22.5,18.5000000000028,18.5
"177","HMK043","208","Copepod2 spp.",-0.848544252873565,"Pleurobrachia pileus",-1.9980756395996,1976,2003,4.1174,43.8942,1.14953138672603,39.7768
"152","HMK027","178","Caterpillar spp.",-0.182992498750978,"Ficedula1 albicollis",-0.192331808613633,1962,2006,4.863,9.565,0.00933930986265408,4.702
"104","HMK006","123","Hylurgops rugipennis pinifex",-12.0000000000018,"Ips pini",-7.00000000000105,1996,1997,5,0,-5.00000000000076,-5
"109","HMK006","128","Ips grandicollis",10.0000000000016,"Ips pini",-7.00000000000105,1996,1997,5,22,17.0000000000026,17
"74","HMK006","93","Dendroctonus valens",10.5000000000016,"Ips pini",-7.00000000000105,1996,1997,5.5,23,17.5000000000027,17.5
"83","HMK006","102","Dryocetes autographus",16.0000000000025,"Ips pini",-7.00000000000105,1996,1997,6,29,23.0000000000035,23
"98","HMK006","117","Hylastes porculus",14.5000000000022,"Ips pini",-7.00000000000105,1996,1997,7,28.5,21.5000000000033,21.5
"70","HMK006","89","Dendroctonus valens",10.5000000000016,"Gnathotrichus materiarius",11.0000000000017,1996,1997,7.5,7,-0.500000000000121,-0.5
"166","HMK035","192","Acartia hudsonica",-0.635875616201656,"Mnemiopsis2 leidyi",-1.19383720396549,1951,2004,7.63400000000001,24.447,0.557961587763831,16.813
"79","HMK006","98","Dryocetes autographus",16.0000000000025,"Gnathotrichus materiarius",11.0000000000017,1996,1997,8,13,5.00000000000072,5
"185","HMK048","220","Caterpillar2 spp.",-0.742149176845457,"Parus2 caeruleus",-0.485972065852361,1985,2005,8.3752,4.7406,-0.256177110993096,-3.6346
"147","HMK020","172","Quercus1 robur",-6.50000000000314,"Thaumetopoea processionea",-4.00000000000177,2009,2011,10,5,-2.50000000000137,-5
"148","HMK021","173","Dasineura mali",-8.99999999999558,"Platygaster demades",-6.99999999999654,1998,1999,10,8,-1.99999999999904,-2
"151","HMK027","177","Caterpillar spp.",-0.182992498750978,"Parus1 major",-0.135115010845993,1961,2004,11.1873,17.0449,-0.0478774879049853,5.85760000000002
"146","HMK019","171","Daphnia3 spp.",-0.696012315376935,"Perca fluviatillis",-0.513398597613784,1969,2008,13.362,-7.31699999999999,-0.182613717763151,-20.679
"94","HMK006","113","Gnathotrichus materiarius",11.0000000000017,"Pissodes approximatus",-24.5000000000038,1996,1997,13.5,49,35.5000000000055,35.5
"186","HMK048","221","Caterpillar2 spp.",-0.742149176845457,"Parus4 major",-0.374399548592668,1985,2005,14.0477,6.5836,-0.367749628252788,-7.4641
"49","HMK006","68","Monochamus spp.",-10.0000000000015,"Enoclerus nigripes",53.0000000000081,1996,1997,15,-48,-63.0000000000096,-63
"59","HMK006","78","Pissodes approximatus",-24.5000000000038,"Cucujus clavipes",61.0000000000093,1996,1997,15.5,-70,-85.5000000000131,-85.5
"58","HMK006","77","Pissodes approximatus",-24.5000000000038,"Corticeus parallelus",51.0000000000078,1996,1997,15.5,-60,-75.5000000000116,-75.5
"116","HMK006","135","Ips pini",-7.00000000000105,"Pissodes approximatus",-24.5000000000038,1996,1997,15.5,33,17.5000000000027,17.5
"184","HMK048","219","Caterpillar2 spp.",-0.742149176845457,"Parus ater",-0.353305682421666,1985,2005,19.5678,11.0682,-0.388843494423791,-8.4996
"107","HMK006","126","Hylurgops rugipennis pinifex",-12.0000000000018,"Pissodes approximatus",-24.5000000000038,1996,1997,20.5,33,12.500000000002,12.5
"112","HMK006","131","Ips grandicollis",10.0000000000016,"Pissodes approximatus",-24.5000000000038,1996,1997,20.5,55,34.5000000000053,34.5
"121","HMK006","140","Orthotomicus caelatus",15.0000000000023,"Pissodes approximatus",-24.5000000000038,1996,1997,20.5,60,39.5000000000061,39.5
"144","HMK018","169","Pygoscelis antarcticus",-0.321212121212127,"Pygoscelis papua",0.186274509803873,1997,2006,21,13,-0.507486631016,-8
"77","HMK006","96","Dendroctonus valens",10.5000000000016,"Pissodes approximatus",-24.5000000000038,1996,1997,21,56,35.0000000000054,35
"86","HMK006","105","Dryocetes autographus",16.0000000000025,"Pissodes approximatus",-24.5000000000038,1996,1997,21.5,62,40.5000000000062,40.5
"141","HMK016","165","Engraulis japonicus",-1.50021650055365,"Cerorhinca monocerata",0.623592857142876,1993,2006,22.001,22.04,-2.12380935769652,0.0390000000000157
"101","HMK006","120","Hylastes porculus",14.5000000000022,"Pissodes approximatus",-24.5000000000038,1996,1997,22.5,61.5,39.000000000006,39
"127","HMK008","146","Erythronium grandiflorum",-0.446005253684566,"Selasphorus platycercus",-0.283470133730404,1975,2011,24.6319,15.1276,-0.162535119954162,-9.5043
"154","HMK028","180","Operophtera brumata",-0.356399997454411,"Parus2 major",-0.264192645698434,1961,2006,27.727,33.2446,-0.0922073517559773,5.5176
"16","HMK006","35","Gnathotrichus materiarius",11.0000000000017,"Cucujus clavipes",61.0000000000093,1996,1997,29,-21,-50.0000000000076,-50
"18","HMK006","37","Gnathotrichus materiarius",11.0000000000017,"Corticeus parallelus",51.0000000000078,1996,1997,29,-11,-40.0000000000061,-40
"123","HMK006","142","Pissodes approximatus",-24.5000000000038,"Tomicus piniperda",-8.00000000000123,1996,1997,30,13.5,-16.5000000000025,-16.5
"43","HMK006","62","Ips pini",-7.00000000000105,"Cucujus clavipes",61.0000000000093,1996,1997,31,-37,-68.0000000000104,-68
"44","HMK006","63","Ips pini",-7.00000000000105,"Corticeus parallelus",51.0000000000078,1996,1997,31,-27,-58.0000000000088,-58
"132","HMK010","152","Codiolum spp.",4.01943669422849e-14,"Mazzaella splendens",0,1997,1998,31,31,4.01943669422849e-14,0
"188","HMK049","223","Caterpillar3 spp.",-0.395723913043494,"Parus5 major",-0.15198043478261,1973,1995,33.1711,22.5809,-0.243743478260884,-10.5902
"126","HMK008","145","Delphinium nuttallianum",-0.529816795007202,"Selasphorus platycercus",-0.283470133730404,1975,2010,35.8319,30.7557,-0.246346661276797,-5.07620000000003
"31","HMK006","50","Hylurgops rugipennis pinifex",-12.0000000000018,"Cucujus clavipes",61.0000000000093,1996,1997,36,-37,-73.0000000000111,-73
"30","HMK006","49","Hylurgops rugipennis pinifex",-12.0000000000018,"Corticeus parallelus",51.0000000000078,1996,1997,36,-27,-63.0000000000096,-63
"34","HMK006","53","Ips grandicollis",10.0000000000016,"Cucujus clavipes",61.0000000000093,1996,1997,36,-15,-51.0000000000078,-51
"56","HMK006","75","Orthotomicus caelatus",15.0000000000023,"Cucujus clavipes",61.0000000000093,1996,1997,36,-10,-46.000000000007,-46
"33","HMK006","52","Ips grandicollis",10.0000000000016,"Corticeus parallelus",51.0000000000078,1996,1997,36,-5,-41.0000000000062,-41
"51","HMK006","70","Orthotomicus caelatus",15.0000000000023,"Corticeus parallelus",51.0000000000078,1996,1997,36,0,-36.0000000000055,-36
"8","HMK006","27","Dendroctonus valens",10.5000000000016,"Cucujus clavipes",61.0000000000093,1996,1997,36.5,-14,-50.5000000000077,-50.5
"3","HMK006","22","Dendroctonus valens",10.5000000000016,"Corticeus parallelus",51.0000000000078,1996,1997,36.5,-4,-40.5000000000062,-40.5
"14","HMK006","33","Dryocetes autographus",16.0000000000025,"Cucujus clavipes",61.0000000000093,1996,1997,37,-8,-45.0000000000069,-45
"9","HMK006","28","Dryocetes autographus",16.0000000000025,"Corticeus parallelus",51.0000000000078,1996,1997,37,2,-35.0000000000053,-35
"21","HMK006","40","Hylastes porculus",14.5000000000022,"Cucujus clavipes",61.0000000000093,1996,1997,38,-8.5,-46.5000000000071,-46.5
"23","HMK006","42","Hylastes porculus",14.5000000000022,"Corticeus parallelus",51.0000000000078,1996,1997,38,1.5,-36.5000000000056,-36.5
"95","HMK006","114","Gnathotrichus materiarius",11.0000000000017,"Tomicus piniperda",-8.00000000000123,1996,1997,43.5,62.5,19.000000000003,19
"117","HMK006","136","Ips pini",-7.00000000000105,"Tomicus piniperda",-8.00000000000123,1996,1997,45.5,46.5,1.00000000000018,1
"47","HMK006","66","Monochamus spp.",-10.0000000000015,"Platysoma cylindrica",15.0000000000023,1996,1997,47.5,22.5,-25.0000000000038,-25
"118","HMK006","137","Monochamus spp.",-10.0000000000015,"Orthotomicus caelatus",15.0000000000023,1996,1997,47.5,22.5,-25.0000000000038,-25
"50","HMK006","69","Monochamus spp.",-10.0000000000015,"Platysoma parallelum",18.0000000000028,1996,1997,48.5,20.5,-28.0000000000043,-28
"48","HMK006","67","Monochamus spp.",-10.0000000000015,"Thanasimus dubius",-4.00000000000056,1996,1997,49.5,43.5,-6.00000000000092,-6
"134","HMK011","155","Epirrita autumnata",-1.02194901098901,"Poecile montanus",-0.139610336134454,1996,2009,49.7119,37.2016,-0.882338674854557,-12.5103
"108","HMK006","127","Hylurgops rugipennis pinifex",-12.0000000000018,"Tomicus piniperda",-8.00000000000123,1996,1997,50.5,46.5,-4.00000000000058,-4
"113","HMK006","132","Ips grandicollis",10.0000000000016,"Tomicus piniperda",-8.00000000000123,1996,1997,50.5,68.5,18.0000000000028,18
"122","HMK006","141","Orthotomicus caelatus",15.0000000000023,"Tomicus piniperda",-8.00000000000123,1996,1997,50.5,73.5,23.0000000000036,23
"78","HMK006","97","Dendroctonus valens",10.5000000000016,"Tomicus piniperda",-8.00000000000123,1996,1997,51,69.5,18.5000000000028,18.5
"87","HMK006","106","Dryocetes autographus",16.0000000000025,"Tomicus piniperda",-8.00000000000123,1996,1997,51.5,75.5,24.0000000000037,24
"102","HMK006","121","Hylastes porculus",14.5000000000022,"Tomicus piniperda",-8.00000000000123,1996,1997,52.5,75,22.5000000000034,22.5
"119","HMK006","138","Monochamus spp.",-10.0000000000015,"Pissodes approximatus",-24.5000000000038,1996,1997,68,82.5,14.5000000000023,14.5
"45","HMK006","64","Monochamus spp.",-10.0000000000015,"Cucujus clavipes",61.0000000000093,1996,1997,83.5,12.5,-71.0000000000108,-71
"46","HMK006","65","Monochamus spp.",-10.0000000000015,"Corticeus parallelus",51.0000000000078,1996,1997,83.5,22.5,-61.0000000000093,-61
"133","HMK010","153","Mastocarpus papillatus",4.01943669422849e-14,"Mazzaella splendens",0,1997,1998,92,92,4.01943669422849e-14,0
"120","HMK006","139","Monochamus spp.",-10.0000000000015,"Tomicus piniperda",-8.00000000000123,1996,1997,98,96,-2.00000000000026,-2
